,tobs
11951,75
11952,70
11953,70
11954,74
11955,73
11956,72
11957,78
11958,67
11959,69
11960,71
11961,74
11962,63
11963,76
11964,76
11965,71
11966,76
11967,77
11968,73
11969,71
11970,78
11971,78
11972,75
11973,75
11974,72
11975,77
11976,72
12520,72
12521,71
12522,72
12523,74
12524,66
12525,61
12526,58
12527,60
12528,71
12529,65
12530,72
12531,70
12532,68
12533,67
12534,71
12535,65
12536,64
12537,65
12538,69
12539,70
12540,70
12541,68
12542,69
12543,71
12544,70
12545,71
12546,76
12547,71
12548,72
12549,73
12550,77
12881,67
12882,69
12883,72
12884,74
12885,71
12886,70
12887,68
12888,70
12889,66
12890,72
12891,70
12892,70
12893,70
12894,70
12895,73
12896,71
12897,69
12898,73
12899,72
12900,71
12901,69
12902,70
12903,69
12904,70
12905,75
12906,71
12907,70
12908,69
12909,71
12910,65
12911,67
13247,72
13248,67
13249,76
13250,67
13251,72
13252,69
13253,66
13254,75
13255,74
13256,72
13257,72
13258,72
13259,68
13260,74
13261,73
13262,73
13263,72
13264,70
13265,70
13266,71
13267,70
13268,72
13269,65
13270,62
13271,73
13272,71
13273,70
13274,62
13275,69
13276,69
13277,66
13612,72
13613,73
13614,70
13615,66
13616,64
13617,65
13618,73
13619,74
13620,67
13621,73
13622,70
13623,67
13624,71
13625,78
13626,69
13627,63
13628,64
13629,66
13630,69
13631,69
13632,71
13633,72
13634,69
13635,70
13636,73
13637,68
13638,69
13639,73
13640,73
13641,70
13642,65
13977,70
13978,68
13979,68
13980,66
13981,68
13982,65
13983,62
13984,62
13985,65
13986,61
13987,70
13988,68
13989,67
13990,68
13991,71
13992,69
13993,71
13994,71
13995,71
13996,72
13997,72
13998,68
13999,69
14000,66
14001,60
14002,63
14003,68
14004,64
14005,63
14006,63
14007,59
14341,73
14342,74
14343,75
14344,75
14345,70
14346,72
14347,69
14348,68
14349,74
14350,72
14351,75
14352,79
14353,69
14354,67
14355,73
14356,74
14357,75
14358,72
14359,76
14360,74
14361,75
14362,74
14363,74
14364,76
14365,74
14366,75
14367,75
14368,73
14369,76
14370,74
14371,73
14707,74
14708,70
14709,72
14710,70
14711,67
14712,67
14713,69
14714,70
14715,68
14716,69
14717,69
14718,66
14719,65
14720,68
14721,62
14722,75
14723,70
14724,69
14725,76
14726,76
14727,74
14728,73
14729,71
14730,74
14731,74
14732,72
14733,71
14734,72
14735,74
14736,69
14737,67
15281,70
15282,74
15283,74
15284,75
15285,69
15286,65
15287,66
15288,68
15289,77
15290,65
15291,72
15292,65
15293,66
15294,74
15295,66
15296,63
15297,63
15298,69
15299,69
15300,73
